date_key,full_date,day_of_week,day_name,day_of_month,day_of_year,month,month_name,quarter,year,is_weekend
2017-10-02,2017-10-02,0,Monday,2,275,10,October,4,2017,False
2018-07-24,2018-07-24,1,Tuesday,24,205,7,July,3,2018,False
2018-08-08,2018-08-08,2,Wednesday,8,220,8,August,3,2018,False
2017-11-18,2017-11-18,5,Saturday,18,322,11,November,4,2017,True
2018-02-13,2018-02-13,1,Tuesday,13,44,2,February,1,2018,False
2017-07-09,2017-07-09,6,Sunday,9,190,7,July,3,2017,True
2017-04-11,2017-04-11,1,Tuesday,11,101,4,April,2,2017,False
2017-05-16,2017-05-16,1,Tuesday,16,136,5,May,2,2017,False
2017-01-23,2017-01-23,0,Monday,23,23,1,January,1,2017,False
2017-07-29,2017-07-29,5,Saturday,29,210,7,July,3,2017,True
2017-07-13,2017-07-13,3,Thursday,13,194,7,July,3,2017,False
2018-06-07,2018-06-07,3,Thursday,7,158,6,June,2,2018,False
2018-07-25,2018-07-25,2,Wednesday,25,206,7,July,3,2018,False
2018-03-01,2018-03-01,3,Thursday,1,60,3,March,1,2018,False
2018-01-02,2018-01-02,1,Tuesday,2,2,1,January,1,2018,False
2017-12-26,2017-12-26,1,Tuesday,26,360,12,December,4,2017,False
2017-11-21,2017-11-21,1,Tuesday,21,325,11,November,4,2017,False
2017-10-26,2017-10-26,3,Thursday,26,299,10,October,4,2017,False
2017-09-18,2017-09-18,0,Monday,18,261,9,September,3,2017,False
2018-03-15,2018-03-15,3,Thursday,15,74,3,March,1,2018,False
2018-02-03,2018-02-03,5,Saturday,3,34,2,February,1,2018,True
2018-01-08,2018-01-08,0,Monday,8,8,1,January,1,2018,False
2018-08-09,2018-08-09,3,Thursday,9,221,8,August,3,2018,False
2018-02-20,2018-02-20,1,Tuesday,20,51,2,February,1,2018,False
2018-06-04,2018-06-04,0,Monday,4,155,6,June,2,2018,False
2018-03-12,2018-03-12,0,Monday,12,71,3,March,1,2018,False
2018-05-02,2018-05-02,2,Wednesday,2,122,5,May,2,2018,False
2018-02-25,2018-02-25,6,Sunday,25,56,2,February,1,2018,True
2017-08-10,2017-08-10,3,Thursday,10,222,8,August,3,2017,False
2018-04-16,2018-04-16,0,Monday,16,106,4,April,2,2018,False
2017-12-12,2017-12-12,1,Tuesday,12,346,12,December,4,2017,False
